Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
0,0,3125,32,6,0,6,168,0,0,48,0,29,0,3,0,0,1,43,50,23,97
0,32,1937,9,16,0,2,24,4,2,38,0,35,0,2,11,0,0,86,26,11,268
0,146,321,2,19,0,2,0,1,2,13,1,0,9,25,21,50,209,9,7,14,0
0,51,322,4,2,0,7,1,0,9,28,0,1,8,20,110,1,652,6,66,12,0
0,119,471,45,127,2,35,41,1,50,179,7,21,20,29,65,0,702,172,69,155,0
0,152,1205,7,13,0,29,0,1,62,60,2,14,7,96,59,0,0,16,36,88,0
0,6,218,99,67,36,36,0,2,40,58,1,1,1,413,44,0,132,51,165,14,0
0,5,1286,188,9,9,0,18,0,0,107,0,205,0,1,12,0,0,263,9,3,63
0,212,1527,43,27,1,43,0,5,25,216,0,21,19,75,146,1,0,979,16,161,0
0,28,642,20,29,3,20,0,6,37,67,0,54,11,36,117,0,0,100,10,55,0
0,25,230,5,8,0,1,1,1,0,18,0,14,0,20,22,0,935,6,17,17,9
0,535,914,9,14,3,3,9,5,2,130,0,45,19,374,81,0,92,76,292,35,5
0,80,2175,6,27,0,6,0,1,1,337,0,7,8,34,72,17,2,47,5,22,17
0,375,3185,10,58,0,5,0,1,9,31,0,26,6,37,9,329,0,42,10,18,0
0,157,1828,21,108,0,12,0,1,0,13,2,12,2,31,3,14,0,15,154,39,0
0,445,2130,57,40,2,105,0,0,54,326,0,43,46,59,270,69,0,670,216,45,0
0,196,1340,49,41,1,31,1,0,12,149,6,33,4,49,143,17,0,122,184,10,0
0,636,8917,79,166,0,41,42,2,12,607,1,255,53,51,334,5,0,105,28,11,0
0,67,2189,2,8,0,2,0,2,0,16,0,4,3,9,161,5,0,0,0,0,0
0,273,605,14,9,0,39,0,1,12,31,2,31,28,107,43,28,0,14,97,13,0
0,373,2463,2,68,0,3,0,3,4,68,0,15,0,15,0,19,0,31,10,5,0
0,4372,8512,61,32,2,76,0,4,61,3023,0,143,15,170,0,0,0,469,388,146,0
0,248,7486,3,19,16,5,0,1,1,68,0,70,26,22,399,60,0,112,24,3,0
0,162,2533,6,10,2,6,0,1,1,39,0,5,23,27,86,50,0,23,22,1,0
0,253,9639,56,48,2,62,0,9,125,376,11,79,41,501,284,31,0,269,107,145,149
0,108,1116,10,10,0,15,0,0,9,41,1,21,17,56,20,6,0,14,37,23,17
14,481,6412,69,72,0,28,17,4,11,209,6,121,0,445,116,5,1,58,351,52,0
32,310,1707,52,35,1,34,29,4,10,158,0,24,0,90,116,4,0,62,184,45,0
7,150,1755,15,21,1,15,4,4,23,106,0,2,32,64,50,63,0,143,41,35,0
0,520,1840,16,15,0,4,8,5,7,125,0,24,194,176,385,26,4,35,4,26,0
0,166,3097,30,22,0,29,15,0,1,50,0,14,69,135,181,1,0,63,129,56,67
0,84,1937,0,6,0,4,95,0,0,24,0,1,18,37,115,0,0,14,0,1,18
0,15,941,18,22,0,2,0,2,1,29,0,19,3,35,5,0,736,0,9,0,244
3,428,1022,53,16,0,31,0,5,48,72,1,19,111,18,192,29,1,243,39,8,0
1,54,1691,22,6,0,60,21,0,4,35,0,0,14,11,172,26,0,19,64,9,0
0,41,3415,21,34,1,4,0,2,2,130,0,20,0,31,726,49,0,119,171,27,152
0,14,968,4,13,0,0,0,0,0,10,0,13,0,24,444,34,0,9,8,1,186
0,817,872,11,36,0,11,0,4,11,153,10,35,32,110,122,21,2,6,103,95,1
0,318,1121,80,83,28,107,0,0,25,249,13,34,12,284,76,56,0,13,140,169,9
1,182,2492,67,63,12,23,0,51,4,118,0,23,0,18,94,76,0,48,27,369,0
0,124,3735,20,30,0,5,0,4,3,23,0,12,41,13,136,21,0,135,34,1,47
0,891,557,34,19,2,1,0,0,0,10,0,1,5,180,137,210,34,1,9,6,139
0,1335,21290,103,188,0,119,337,7,22,709,0,72,158,171,0,0,0,341,169,102,500
0,144,1648,150,113,0,42,255,19,4,132,0,12,10,485,0,0,0,205,55,226,7
4,319,3346,68,105,0,134,42,12,33,275,20,8,45,79,191,1,1,182,230,127,0
2,301,639,55,7,12,9,34,1,3,357,0,9,7,316,20,0,0,6,271,115,0
0,576,1950,18,43,0,15,80,3,7,46,1,2,73,62,179,0,0,18,8,73,0
0,498,2515,4,3,0,2,29,0,0,18,0,0,48,7,37,0,0,1,13,3,0
